"#","Page Name","URL","SEO Issues","--- CURRENT SEO ---","Current Meta Title","Current Meta Title Length","Current Meta Description","Current Meta Desc Length","Current Keywords","Current H1 Tag","Current H2 Tags","Canonical URL","Has Metadata Export","--- RECOMMENDED SEO ---","Recommended Meta Title","Recommended Meta Title Length","Recommended Meta Description","Recommended Meta Desc Length","Focus Keyword","Recommended H1","File Path"
"1","Home","https://www.mbawizards.co.in/","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/","YES","","Best GMAT Coaching in India | #1 MBA Admissions Prep | MBA Wizards","66","MBA Wizards offers India's top GMAT, GRE & CAT coaching with IIT alumni mentors. 700+ GMAT scorers, personalized plans & real results. Book free session today!","159","GMAT coaching India","India's #1 GMAT, GRE & MBA Admissions Coaching","/src/app/(home)/page.tsx"
"2","About Us","https://www.mbawizards.co.in/about-us","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/about-us","YES","","About MBA Wizards | IIT Alumni GMAT & MBA Mentors","49","Meet the team behind MBA Wizards – IIT Roorkee alumni and top-rated mentors with 15+ years helping students crack GMAT 700+, IIM interviews & global MBA admissions.","164","MBA Wizards about us","About MBA Wizards – Mentors Who've Been There","/src/app/about-us/page.tsx"
"3","Blog","https://www.mbawizards.co.in/blog","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/blog","NO","","","0","","0","blog","","/src/app/blog/page.tsx"
"4","[Slug]","https://www.mbawizards.co.in/blog/[slug]","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/blog/[slug]","NO","","","0","","0","blog [slug]","","/src/app/blog/[slug]/page.tsx"
"5","Blogs","https://www.mbawizards.co.in/blogs","DESC TOO LONG (>165)","","MBA Preparation Blog & Admissions Insights | MBA Wizards","56","Explore 100+ expert guides on GMAT Focus Edition, GRE strategies, CAT preparation, top MBA interview questions, application essays, and success stories by IIT Roorkee alumni.","174","","Expert Insights, Test Strategies &amp; Admissions Playbooks","","https://www.mbawizards.co.in/blogs","YES","","MBA & GMAT Blog | Expert Tips, Guides & Interview Prep | MBA Wizards","68","Read expert articles on GMAT prep, MBA interviews, IIM admissions, and test strategies from MBA Wizards faculty. 100+ guides updated for 2025-26.","145","GMAT MBA blog tips","GMAT & MBA Preparation Blog","/src/app/blogs/page.tsx"
"6","[Slug]","https://www.mbawizards.co.in/blogs/[slug]","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/blogs/[slug]","NO","","","0","","0","blogs [slug]","","/src/app/blogs/[slug]/page.tsx"
"7","Cat 2025","https://www.mbawizards.co.in/cat-2025","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/cat-2025","YES","","CAT 2025 Coaching | IIM Preparation | MBA Wizards","49","Prepare for CAT 2025 with MBA Wizards. Expert faculty, mock tests, and personalized mentoring to help you crack IIMs. Start your CAT journey today!","147","CAT 2025 coaching","CAT 2025 Coaching – Your Path to IIM","/src/app/cat-2025/page.tsx"
"8","Cat Coaching In Chandigarh","https://www.mbawizards.co.in/cat-coaching-in-chandigarh","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/cat-coaching-in-chandigarh","YES","","Best CAT Coaching in Chandigarh 2025 | MBA Wizards","50","Join MBA Wizards' CAT coaching in Chandigarh. IIT alumni mentors, flexible batch timings, 700+ CAT targets & personalized study plans. Free demo session!","153","CAT coaching in Chandigarh","Best CAT Coaching in Chandigarh – MBA Wizards","/src/app/cat-coaching-in-chandigarh/page.tsx"
"9","Cat Coaching In Delhi","https://www.mbawizards.co.in/cat-coaching-in-delhi","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/cat-coaching-in-delhi","YES","","Best CAT Coaching in Delhi 2025 | MBA Wizards","45","Join MBA Wizards' CAT coaching in Delhi. IIT alumni mentors, flexible batch timings, 700+ CAT targets & personalized study plans. Free demo session!","148","CAT coaching in Delhi","Best CAT Coaching in Delhi – MBA Wizards","/src/app/cat-coaching-in-delhi/page.tsx"
"10","Cat Coaching In Gurgaon","https://www.mbawizards.co.in/cat-coaching-in-gurgaon","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/cat-coaching-in-gurgaon","YES","","Best CAT Coaching in Gurgaon 2025 | MBA Wizards","47","Join MBA Wizards' CAT coaching in Gurgaon. IIT alumni mentors, flexible batch timings, 700+ CAT targets & personalized study plans. Free demo session!","150","CAT coaching in Gurgaon","Best CAT Coaching in Gurgaon – MBA Wizards","/src/app/cat-coaching-in-gurgaon/page.tsx"
"11","Cat Coaching In Hyderabad","https://www.mbawizards.co.in/cat-coaching-in-hyderabad","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/cat-coaching-in-hyderabad","YES","","Best CAT Coaching in Hyderabad 2025 | MBA Wizards","49","Join MBA Wizards' CAT coaching in Hyderabad. IIT alumni mentors, flexible batch timings, 700+ CAT targets & personalized study plans. Free demo session!","152","CAT coaching in Hyderabad","Best CAT Coaching in Hyderabad – MBA Wizards","/src/app/cat-coaching-in-hyderabad/page.tsx"
"12","Cat Coaching In Mumbai","https://www.mbawizards.co.in/cat-coaching-in-mumbai","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/cat-coaching-in-mumbai","YES","","Best CAT Coaching in Mumbai 2025 | MBA Wizards","46","Join MBA Wizards' CAT coaching in Mumbai. IIT alumni mentors, flexible batch timings, 700+ CAT targets & personalized study plans. Free demo session!","149","CAT coaching in Mumbai","Best CAT Coaching in Mumbai – MBA Wizards","/src/app/cat-coaching-in-mumbai/page.tsx"
"13","Cat Coaching In Noida","https://www.mbawizards.co.in/cat-coaching-in-noida","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/cat-coaching-in-noida","YES","","Best CAT Coaching in Noida 2025 | MBA Wizards","45","Join MBA Wizards' CAT coaching in Noida. IIT alumni mentors, flexible batch timings, 700+ CAT targets & personalized study plans. Free demo session!","148","CAT coaching in Noida","Best CAT Coaching in Noida – MBA Wizards","/src/app/cat-coaching-in-noida/page.tsx"
"14","Cat Coaching In Pune","https://www.mbawizards.co.in/cat-coaching-in-pune","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/cat-coaching-in-pune","YES","","Best CAT Coaching in Pune 2025 | MBA Wizards","44","Join MBA Wizards' CAT coaching in Pune. IIT alumni mentors, flexible batch timings, 700+ CAT targets & personalized study plans. Free demo session!","147","CAT coaching in Pune","Best CAT Coaching in Pune – MBA Wizards","/src/app/cat-coaching-in-pune/page.tsx"
"15","Contact Us","https://www.mbawizards.co.in/contact-us","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/contact-us","YES","","Contact MBA Wizards | Free GMAT & MBA Counselling","49","Get in touch with MBA Wizards for GMAT, GRE, CAT coaching and MBA admissions counselling. Free strategy session available. Call or WhatsApp us today!","149","contact MBA Wizards","Contact MBA Wizards – Free Counselling Session","/src/app/contact-us/page.tsx"
"16","Corporate Training","https://www.mbawizards.co.in/corporate-training","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/corporate-training","YES","","Corporate GMAT & MBA Training Programs | MBA Wizards","52","MBA Wizards offers corporate training programs for GMAT, leadership & MBA prep. Customized batch solutions for companies. Enquire now!","134","corporate GMAT training","Corporate Training – GMAT & MBA Programs","/src/app/corporate-training/page.tsx"
"17","Education Loan","https://www.mbawizards.co.in/education-loan","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/education-loan","YES","","MBA Education Loan Guide 2025 | MBA Wizards","43","Explore education loan options for MBA programs in India and abroad. MBA Wizards guides you through top banks, NBFCs and scholarship options.","141","MBA education loan","MBA Education Loan – Complete Guide 2025","/src/app/education-loan/page.tsx"
"18","Gmat Cat Coaching","https://www.mbawizards.co.in/gmat-cat-coaching","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/gmat-cat-coaching","YES","","GMAT & CAT Coaching 2025 | MBA Wizards","38","Score 700+ on GMAT and 99th %ile on CAT with MBA Wizards' integrated coaching. IIT alumni mentors, personalized plans & proven results.","135","GMAT CAT coaching","GMAT & CAT Coaching – Dual Exam Mastery","/src/app/gmat-cat-coaching/page.tsx"
"19","Gmat Cat Coaching In Bangalore","https://www.mbawizards.co.in/gmat-cat-coaching-in-bangalore","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/gmat-cat-coaching-in-bangalore","YES","","Best GMAT & CAT Coaching in Bangalore 2025 | MBA Wizards","56","Join MBA Wizards' GMAT & CAT coaching in Bangalore. IIT alumni mentors, flexible batch timings, 700+ GMAT & CAT targets & personalized study plans. Free demo session!","166","GMAT & CAT coaching in Bangalore","Best GMAT & CAT Coaching in Bangalore – MBA Wizards","/src/app/gmat-cat-coaching-in-bangalore/page.tsx"
"20","Gmat Cat Coaching In Chandigarh","https://www.mbawizards.co.in/gmat-cat-coaching-in-chandigarh","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/gmat-cat-coaching-in-chandigarh","YES","","Best GMAT & CAT Coaching in Chandigarh 2025 | MBA Wizards","57","Join MBA Wizards' GMAT & CAT coaching in Chandigarh. IIT alumni mentors, flexible batch timings, 700+ GMAT & CAT targets & personalized study plans. Free demo session!","167","GMAT & CAT coaching in Chandigarh","Best GMAT & CAT Coaching in Chandigarh – MBA Wizards","/src/app/gmat-cat-coaching-in-chandigarh/page.tsx"
"21","Gmat Cat Coaching In Chennai","https://www.mbawizards.co.in/gmat-cat-coaching-in-chennai","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/gmat-cat-coaching-in-chennai","YES","","Best GMAT & CAT Coaching in Chennai 2025 | MBA Wizards","54","Join MBA Wizards' GMAT & CAT coaching in Chennai. IIT alumni mentors, flexible batch timings, 700+ GMAT & CAT targets & personalized study plans. Free demo session!","164","GMAT & CAT coaching in Chennai","Best GMAT & CAT Coaching in Chennai – MBA Wizards","/src/app/gmat-cat-coaching-in-chennai/page.tsx"
"22","Gmat Cat Coaching In Delhi","https://www.mbawizards.co.in/gmat-cat-coaching-in-delhi","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/gmat-cat-coaching-in-delhi","YES","","Best GMAT & CAT Coaching in Delhi 2025 | MBA Wizards","52","Join MBA Wizards' GMAT & CAT coaching in Delhi. IIT alumni mentors, flexible batch timings, 700+ GMAT & CAT targets & personalized study plans. Free demo session!","162","GMAT & CAT coaching in Delhi","Best GMAT & CAT Coaching in Delhi – MBA Wizards","/src/app/gmat-cat-coaching-in-delhi/page.tsx"
"23","Gmat Cat Coaching In Gurgaon","https://www.mbawizards.co.in/gmat-cat-coaching-in-gurgaon","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/gmat-cat-coaching-in-gurgaon","YES","","Best GMAT & CAT Coaching in Gurgaon 2025 | MBA Wizards","54","Join MBA Wizards' GMAT & CAT coaching in Gurgaon. IIT alumni mentors, flexible batch timings, 700+ GMAT & CAT targets & personalized study plans. Free demo session!","164","GMAT & CAT coaching in Gurgaon","Best GMAT & CAT Coaching in Gurgaon – MBA Wizards","/src/app/gmat-cat-coaching-in-gurgaon/page.tsx"
"24","Gmat Cat Coaching In Hyderabad","https://www.mbawizards.co.in/gmat-cat-coaching-in-hyderabad","NO META TITLE, NO META DESC, NO H1 IN PAGE","","","0","","0","","","","https://www.mbawizards.co.in/gmat-cat-coaching-in-hyderabad","YES","","Best GMAT & CAT Coaching in Hyderabad 2025 | MBA Wizards","56","Join MBA Wizards' GMAT & CAT coaching in Hyderabad. IIT alumni mentors, flexible batch timings, 700+ GMAT & CAT targets & personalized study plans. Free demo session!","166","GMAT & CAT coaching in Hyderabad","Best GMAT & CAT Coaching in Hyderabad – MBA Wizards","/src/app/gmat-cat-coaching-in-hyderabad/page.tsx"
